t,1,2,3,4,time,x,y,delta_x,delta_y
0.25,119.770835444029,102.558115915911,100.585789479683,101,0.25,15.9178558342155,-23.4495130370298,0.004966631381999,-0.0066785188098
0.26,119.715535179549,102.547272367644,100.573801131135,101,0.26,15.9284632425641,-23.5210932182165,0.0106074083486,-0.0715801811867
0.27,119.689399019185,102.544889972905,100.576548980821,101,0.27,15.9392152862197,-23.5943375445924,0.0107520436556,-0.0732443263759
0.28,119.696339038639,102.552103711633,100.596009743775,101,0.28,15.9499673298752,-23.6675818709683,0.010752043655501,-0.0732443263759
0.29,119.703279058093,102.559317450361,100.61547050673,101,0.29,15.9607193735307,-23.7408261973442,0.010752043655501,-0.073244326375903
0.3,119.710219077547,102.566531189089,100.634931269684,101,0.3,15.9714714171862,-23.8140705237201,0.010752043655499,-0.0732443263759
0.31,119.717159097002,102.573744927817,100.654392032639,101,0.31,15.9822234608418,-23.887314850096,0.0107520436556,-0.0732443263759
0.32,119.725884417286,102.575437366713,100.669730186049,101,0.32,15.9929755044973,-23.9605591764719,0.010752043655501,-0.0732443263759
0.33,119.743909715864,102.548368283907,100.663592866749,101,0.33,16.0037275481528,-24.0338035028477,0.010752043655499,-0.0732443263758
0.34,119.761935014442,102.521299201101,100.65745554745,101,0.34,15.92468155927,-24.0781065155257,-0.079045988882799,-0.044303012678
0.35,119.779960313019,102.494230118294,100.65131822815,101,0.35,15.7936464895117,-24.1056537902887,-0.131035069758301,-0.027547274762998
0.36,119.797985611597,102.467161035488,100.645180908851,101,0.36,15.6626114197534,-24.1332010650518,-0.131035069758299,-0.027547274763101
0.37,119.816010910175,102.440091952682,100.639043589551,101,0.37,15.5315763499951,-24.1607483398149,-0.131035069758299,-0.027547274763101
0.38,119.835078796003,102.403153516861,100.631101649491,101,0.38,15.4005412802368,-24.1882956145779,-0.131035069758301,-0.027547274762998
0.39,119.854323239924,102.364543744534,100.622854103931,101,0.39,15.2695062104785,-24.215842889341,-0.131035069758299,-0.027547274763101
0.4,119.873567683844,102.325933972207,100.614606558372,101,0.4,15.1384711407202,-24.243390164104,-0.131035069758299,-0.027547274762998
0.41,119.892812127764,102.287324199881,100.606359012812,101,0.41,15.0074360709619,-24.2709374388671,-0.131035069758301,-0.027547274763101
0.42,119.912056571684,102.248714427554,100.598111467253,101,0.42,14.9023394449792,-24.2926035202543,-0.1050966259827,-0.021666081387199
